split,method,key,macro_f05,pair_prec,pair_rec,pair_f05,cand_rec,reduction_ratio,total_cand,total_tp,total_fp,total_fn,avg_cand,median_cand,p95_cand,max_cand,unresolved_s1,unresolved_pct,correct_sing,fp_sing,sing_fpr,m0_f05,m1_f05,m1_prec,m1_rec,mm_f05,mm_prec,mm_rec,us_f05,us_prec,us_rec,in_f05,in_prec,in_rec,s2_prec,s2_rec,s3_prec,s3_rec,runtime_sec
Validation (20%),Country + Legal-Normalized Name,country_legal_norm_name,0.38170563755245035,0.03971779289020391,0.39338995322116715,0.0484249599424046,0.39338995322116715,0.9999966782649956,15130448,600948,14529500,926666,34.28103270535724,3.0,166.0,1355,51193,11.598790117023325,9532,15117,61.329060002434176,0.38670939997565823,0.22362488923668875,0.011415379159695895,0.39711312520980196,0.3909807484093274,0.043861558942038,0.393330948235848,0.4281664959099002,0.03428496898200989,0.4709373816857442,0.31207484661064017,0.06663305971608817,0.27708384812131703,0.04065377230004087,0.3995137433898645,0.03885638947313379,0.3876682216245511,2.266218662261963
Validation (20%),Country + Legal-Norm Name + Norm Address,country_legal_norm_name_and_addr,0.10573272132147792,0.9998945147679325,0.02482040620209032,0.1128926799000056,0.02482040620209032,0.999999991675052,37920,37916,4,1489698,0.0859152855346482,0.0,1.0,5,407826,92.40107394106917,24647,2,0.008113919428780071,0.9999188608057122,0.02404330312185297,1.0,0.02404330312185297,0.05458792556086424,0.9999464453072701,0.024832721764191885,0.1187557099306117,0.9998602082896484,0.031215869576365407,0.08621519561619119,1.0,0.015228451315920818,0.9998916693749323,0.0500351004632177,1.0,0.0012611873395025148,1.2304439544677734
Full Training (100%),Exact Raw Business Name,raw_name,0.10520168118969142,0.042209324723275383,0.04636044493815103,0.04297899364940881,0.04636044493815103,0.9999996316305741,8389568,354118,8035450,7284247,3.801653147219462,0.0,18.0,706,1415846,64.15771827438655,89314,33933,27.532516004446357,0.7246748399555365,0.03150590140264436,0.01222080737105799,0.0467954043824534,0.07080631586434932,0.04652513162289204,0.0463535521294264,0.11791160922705612,0.036195739893733606,0.05922631801266872,0.0861533243530186,0.09238831404608891,0.027108907221710395,0.04450708360935149,0.0472753145356898,0.04019085512005132,0.04550381697579515,2.9214444160461426
Full Training (100%),Exact Normalized Business Name,norm_name,0.3555355858241224,0.0804413580444809,0.2578682741660028,0.09327729342244231,0.2578682741660028,0.9999989248652337,24486061,1969692,22516369,5668673,11.095626242454644,2.0,69.0,1071,548896,24.872701501390463,75503,47744,38.73846827914675,0.6126153172085325,0.18496352112800613,0.024153980850365683,0.26069807061272104,0.3497529795134843,0.08831120225041353,0.2578234303400039,0.3971227655795237,0.06774201109723306,0.304873494110108,0.29320891981273633,0.14787763272913196,0.18753315121069938,0.08040564981483077,0.2527575258845051,0.08047356047478144,0.262653666421108,7.964427709579468
Full Training (100%),Exact Raw Address,raw_addr,0.10144637120300899,0.8297142634123496,0.022265759753559825,0.10053697672139292,0.022265759753559825,0.9999999909997753,204979,170074,34905,7468291,0.09288428921058844,0.0,1.0,6,2010143,91.08772301876772,121509,1738,1.4101763126080147,0.9858982368739199,0.010685278595287583,0.4002489884842826,0.010792483865824081,0.051461454774129424,0.8450597041079431,0.022447576925654935,0.10253991647918456,0.8157974707216158,0.022866986333144188,0.09980747595700505,0.853017927507111,0.021366128915764632,1.0,1.3536859107558198e-06,0.8297101095748729,0.04311278850400001,2.5106680393218994
Full Training (100%),Exact Normalized Address,norm_addr,0.20379501500456307,0.8201719118798981,0.08265891980810029,0.29455195124065364,0.08265891980810029,0.9999999661990256,769813,631379,138434,7006986,0.34883345772040414,0.0,2.0,20,1673797,75.84652312081496,119501,3746,3.039424894723604,0.9696057510527639,0.06985034175014893,0.530454042081949,0.07235831717817669,0.16387302779169435,0.835268523573018,0.08282215360979507,0.21208559269037236,0.8054423334322555,0.08713881903374059,0.19136993425849808,0.8467541552205309,0.07595553105175658,0.8168256826107914,0.1247930552663932,0.8293602713263166,0.043207091153650956,2.1117892265319824
Full Training (100%),Exact Norm Name + Norm Address,norm_name_and_addr,0.08763321880783125,1.0,0.015413638913563309,0.07259253413208655,0.015413638913563309,0.9999999948304877,117735,117735,0,7520630,0.0533504982959651,0.0,0.0,4,2098109,95.07381885526738,123247,0,0.0,1.0,0.015718757605512057,1.0,0.015718757605512057,0.034753734855034024,1.0,0.015408803693154918,0.09613886328874877,1.0,0.019530975279795533,0.07488581766424117,1.0,0.00925276231492923,1.0,0.031809182268122405,1.0,6.185442611514151e-05,2.0668962001800537
Full Training (100%),Country + Exact Raw Business Name,country_raw_name,0.10534844576140788,0.04244174953233751,0.04636044493815103,0.04317157976372339,0.04636044493815103,0.9999996336478848,8343624,354118,7989506,7284247,3.7808340594910055,0.0,18.0,706,1416520,64.18825994496156,89361,33886,27.49438120197652,0.7250561879802349,0.03160157413537881,0.01229645572746679,0.0467954043824534,0.07094146184562657,0.04677965264555711,0.0463535521294264,0.11805014477298972,0.03632688881562546,0.05922631801266872,0.08631242175770401,0.09437465654378661,0.027108907221710395,0.04465425982157425,0.0472753145356898,0.040490146850966864,0.04550381697579515,3.8506062030792236
Full Training (100%),Country + Exact Normalized Business Name,country_norm_name,0.35584775986228245,0.08071551850147592,0.2578682741660028,0.09357212963060527,0.2578682741660028,0.9999989285170648,24402891,1969692,22433199,5668673,11.057938545989911,2.0,69.0,1071,549251,24.888787989601333,75560,47687,38.692219688917376,0.6130778031108263,0.18519540053850356,0.024252038829494053,0.26069807061272104,0.35006059351201446,0.08860803117407282,0.2578234303400039,0.3973692920104727,0.06788776815004555,0.304873494110108,0.2936194798562135,0.14937621291932354,0.18753315121069938,0.08062999160354355,0.2527575258845051,0.0807927389137893,0.262653666421108,10.488813638687134
Full Training (100%),Country + Exact Raw Address,country_raw_addr,0.1014463712030094,0.8297142634123496,0.022265759753559825,0.10053697672139292,0.022265759753559825,0.9999999909997753,204979,170074,34905,7468291,0.09288428921058844,0.0,1.0,6,2010143,91.08772301876772,121509,1738,1.4101763126080147,0.9858982368739199,0.010685278595287588,0.4002489884842826,0.010792483865824081,0.051461454774129334,0.8450597041079431,0.022447576925654935,0.10253991647918505,0.8157974707216158,0.022866986333144188,0.0998074759570051,0.853017927507111,0.021366128915764632,1.0,1.3536859107558198e-06,0.8297101095748729,0.04311278850400001,2.811983108520508
Full Training (100%),Country + Exact Normalized Address,country_norm_addr,0.20379501500456024,0.8201719118798981,0.08265891980810029,0.29455195124065364,0.08265891980810029,0.9999999661990256,769813,631379,138434,7006986,0.34883345772040414,0.0,2.0,20,1673797,75.84652312081496,119501,3746,3.039424894723604,0.9696057510527639,0.06985034175014891,0.530454042081949,0.07235831717817669,0.16387302779169463,0.835268523573018,0.08282215360979507,0.21208559269037447,0.8054423334322555,0.08713881903374059,0.19136993425850038,0.8467541552205309,0.07595553105175658,0.8168256826107914,0.1247930552663932,0.8293602713263166,0.043207091153650956,2.2602922916412354
Full Training (100%),Country + Norm Name + Norm Address,country_norm_name_and_addr,0.0876332188078313,1.0,0.015413638913563309,0.07259253413208655,0.015413638913563309,0.9999999948304877,117735,117735,0,7520630,0.0533504982959651,0.0,0.0,4,2098109,95.07381885526738,123247,0,0.0,1.0,0.015718757605512057,1.0,0.015718757605512057,0.03475373485503371,1.0,0.015408803693154918,0.09613886328874867,1.0,0.019530975279795533,0.07488581766424099,1.0,0.00925276231492923,1.0,0.031809182268122405,1.0,6.185442611514151e-05,2.30135440826416
Full Training (100%),Country + Legal-Normalized Name,country_legal_norm_name,0.38226038015164143,0.03993979039183682,0.39351078404868056,0.04868929519927226,0.39351078404868056,0.9999966955799912,75257756,3005779,72251977,4632586,34.10233815973294,3.0,165.0,1355,255940,11.597678289267684,47876,75371,61.15442972242732,0.3884557027757268,0.22454411493812604,0.011635099766276046,0.3974755994192536,0.391438391789003,0.04404688560352254,0.39344795356106654,0.42849327393024345,0.03446550254193007,0.4712505476658188,0.3129711870343573,0.06702009912344631,0.2771867706937905,0.040899961444972675,0.39941396229551557,0.03905598540218443,0.3879834088177033,31.442448139190674
Full Training (100%),Country + Legal-Norm Name + Norm Address,country_legal_norm_name_and_addr,0.10601508779797292,0.9998532094700862,0.024968694216628822,0.11350547298489995,0.024968694216628822,0.9999999916246306,190748,190720,28,7447645,0.08643564657033806,0.0,1.0,5,2038210,92.359552496555,123243,4,0.0032455151038159147,0.9999675448489619,0.02515169062665223,0.9996664442961974,0.02515169062665223,0.0548337354387713,0.9998774940611251,0.024965794269822036,0.11910911452518103,0.9998402877597928,0.03144813981455151,0.0863910826269294,0.9998930229572733,0.015273332651381134,0.9998492021176332,0.05026262860354574,1.0,0.0012850003523674275,3.4090476036071777
